"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3165","testNicknameFeatureIsAvailable()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.tests.NicknameTest","pt.iscte.blackbattleship.tests.NicknameTest","testNicknameFeatureIsAvailable"
"","3524","navigationBetweenGamesTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.UserStory16Test","pt.iscte.blackbattleship.goncalo.tests.UserStory16Test","navigationBetweenGamesTest"
"","3543","us10_openLanguageOptions()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us10_openLanguageOptions"
"Valida que o botão Continue fica desativado quando o nickname está vazio","7782","validateEmptyNicknameTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.selenide.tests.UserStory14SelenideTest","pt.iscte.blackbattleship.goncalo.selenide.tests.UserStory14SelenideTest","validateEmptyNicknameTest"
"","10550","testValidNickname()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.NicknameValidationTest","pt.iscte.blackbattleship.goncalo.tests.NicknameValidationTest","testValidNickname"
"","8747","testReturnToHomePage()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.ReturnToHomeTest","pt.iscte.blackbattleship.goncalo.tests.ReturnToHomeTest","testReturnToHomePage"
"","3588","validateEmptyNicknameTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.UserStory14Test","pt.iscte.blackbattleship.goncalo.tests.UserStory14Test","validateEmptyNicknameTest"
"","14375","testSearchButtonOpensSearchInput()","","2026-05-12","broken","2026-05-12","","pt.iscte.blackbattleship.MainPageTest","pt.iscte.blackbattleship.MainPageTest","testSearchButtonOpensSearchInput"
"","3407","us09_accessPrivacyPage()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us09_accessPrivacyPage"
"","7883","testCannotStartWithoutNickname()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.EmptyNicknameTest","pt.iscte.blackbattleship.goncalo.tests.EmptyNicknameTest","testCannotStartWithoutNickname"
"","10195","testNavigationBetweenPages()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.NavigationBetweenPagesTest","pt.iscte.blackbattleship.goncalo.tests.NavigationBetweenPagesTest","testNavigationBetweenPages"
"","4265","testOpenMainPage()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.MainPageTest","pt.iscte.blackbattleship.MainPageTest","testOpenMainPage"
"","4989","validateInvalidNicknameTest()","","2026-05-12","broken","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.UserStory13Test","pt.iscte.blackbattleship.goncalo.tests.UserStory13Test","validateInvalidNicknameTest"
"","10478","testCreateInviteLink()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.miguel.tests.InviteLinkTest","pt.iscte.blackbattleship.miguel.tests.InviteLinkTest","testCreateInviteLink"
"","11014","testEnemyBoardIsVisible()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.miguel.tests.EnemyBoardTest","pt.iscte.blackbattleship.miguel.tests.EnemyBoardTest","testEnemyBoardIsVisible"
"","2559","testAttackFeatureIsDescribedInRules()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.tests.AttackTest","pt.iscte.blackbattleship.tests.AttackTest","testAttackFeatureIsDescribedInRules"
"","2723","us12_accessPaperGamesHomePage()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us12_accessPaperGamesHomePage"
"","2726","testViewRules()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.tests.InstructionsTest","pt.iscte.blackbattleship.tests.InstructionsTest","testViewRules"
"","13173","returnToHomePageTest()","","2026-05-12","broken","2026-05-12","","pt.iscte.blackbattleship.goncalo.tests.UserStory15Test","pt.iscte.blackbattleship.goncalo.tests.UserStory15Test","returnToHomePageTest"
"","3004","testPlayVsRobotOptionIsAvailable()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.tests.RobotGameTest","pt.iscte.blackbattleship.tests.RobotGameTest","testPlayVsRobotOptionIsAvailable"
"","4640","us11_shareOptionVisible()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us11_shareOptionVisible"
"","9368","testBoardIsVisible()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.miguel.tests.BoardVisibilityTest","pt.iscte.blackbattleship.miguel.tests.BoardVisibilityTest","testBoardIsVisible"
"","9887","testStartNewGame()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.miguel.tests.StartGameTest","pt.iscte.blackbattleship.miguel.tests.StartGameTest","testStartNewGame"
